new DefaultQueryEngine(new DefaultEvaluatorFactory(ColQueryTemplates.DEFAULT)),CLASS_INSTANCE_CREATION, line no: 40,new DefaultEvaluatorFactory(ColQueryTemplates.DEFAULT),CLASS_INSTANCE_CREATION, line no: 40, 0.9090909090909091, 1.0, 1.0, 0.6923076923076923, 0.9090909090909091
new DefaultEvaluatorFactory(ColQueryTemplates.DEFAULT),CLASS_INSTANCE_CREATION, line no: 40,new DefaultQueryEngine(new DefaultEvaluatorFactory(ColQueryTemplates.DEFAULT)),CLASS_INSTANCE_CREATION, line no: 40, 0.9090909090909091, 0.9090909090909091, 1.0, 0.6923076923076923, 0.9090909090909091
DefaultQueryEngine,SIMPLE_NAME, line no: 40,QueryEngine.DEFAULT,QUALIFIED_NAME, line no: 31, 0.75, 0.4166666666666667, 0.0, 0.5789473684210527, 0.75
DefaultQueryEngine,SIMPLE_NAME, line no: 40,QueryEngine,SIMPLE_NAME, line no: 31, 0.6666666666666666, 0.5, 0.0, 0.6111111111111112, 0.6666666666666666
DefaultQueryEngine,SIMPLE_NAME, line no: 40,queryEngine,SIMPLE_NAME, line no: 48, 0.6666666666666666, 0.08333333333333333, 0.0, 0.5555555555555556, 0.6666666666666666
ColQueryTemplates,SIMPLE_NAME, line no: 40,ColQuery,SIMPLE_NAME, line no: 25, 0.6666666666666666, 0.07692307692307693, 0.0, 0.47058823529411764, 0.6666666666666666
ColQueryTemplates.DEFAULT,QUALIFIED_NAME, line no: 40,ColQueryTemplates,SIMPLE_NAME, line no: 39, 0.6, 0.08333333333333333, 1.0, 0.68, 0.6
ColQueryTemplates,SIMPLE_NAME, line no: 40,ColQueryTemplates.DEFAULT,QUALIFIED_NAME, line no: 40, 0.6, 0.9230769230769231, 1.0, 0.68, 0.6
DefaultQueryEngine,SIMPLE_NAME, line no: 40,DefaultQueryMetadata,SIMPLE_NAME, line no: 16, 0.5, 0.16666666666666666, 0.0, 0.65, 0.5
DefaultQueryEngine,SIMPLE_NAME, line no: 40,getQueryEngine,SIMPLE_NAME, line no: 78, 0.5, 0.5833333333333334, 0.0, 0.7222222222222222, 0.5
new DefaultEvaluatorFactory(ColQueryTemplates.DEFAULT),CLASS_INSTANCE_CREATION, line no: 40,ColQueryTemplates.DEFAULT,QUALIFIED_NAME, line no: 40, 0.5, 1.0, 1.0, 0.46296296296296297, 0.5
ColQueryTemplates.DEFAULT,QUALIFIED_NAME, line no: 40,QueryEngine.DEFAULT,QUALIFIED_NAME, line no: 31, 0.5, 0.5, 0.0, 0.56, 0.5
ColQueryTemplates.DEFAULT,QUALIFIED_NAME, line no: 40,new DefaultEvaluatorFactory(ColQueryTemplates.DEFAULT),CLASS_INSTANCE_CREATION, line no: 40, 0.5, 0.9166666666666666, 1.0, 0.46296296296296297, 0.5
