change,SIMPLE_NAME, line no: 44,IContainer.INCLUDE_TEAM_PRIVATE_MEMBERS | IContainer.INCLUDE_PHANTOMS,INFIX_EXPRESSION, line no: 59, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,IContainer.INCLUDE_TEAM_PRIVATE_MEMBERS,QUALIFIED_NAME, line no: 59, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,IContainer,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,INCLUDE_TEAM_PRIVATE_MEMBERS,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,IContainer.INCLUDE_PHANTOMS,QUALIFIED_NAME, line no: 59, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,INCLUDE_PHANTOMS,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,children,SIMPLE_NAME, line no: 60, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,change.getAffectedChildren(kind memberFlags),METHOD_INVOCATION, line no: 60, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,getAffectedChildren,SIMPLE_NAME, line no: 60, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,int i=0,VARIABLE_DECLARATION_EXPRESSION, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,i,SIMPLE_NAME, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,0,NUMBER_LITERAL, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,i < children.length,INFIX_EXPRESSION, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,children.length,QUALIFIED_NAME, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,length,SIMPLE_NAME, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,i++,POSTFIX_EXPRESSION, line no: 61, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,visitingProcess(children[i]),METHOD_INVOCATION, line no: 62, 0.0, 0.0, 0.0
change,SIMPLE_NAME, line no: 44,children[i],ARRAY_ACCESS, line no: 62, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.tests.harness,QUALIFIED_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.tests,QUALIFIED_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core,QUALIFIED_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse,QUALIFIED_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org,SIMPLE_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,eclipse,SIMPLE_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,core,SIMPLE_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,tests,SIMPLE_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,harness,SIMPLE_NAME, line no: 11, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.internal.events.ResourceDelta,QUALIFIED_NAME, line no: 13, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.internal.events,QUALIFIED_NAME, line no: 13, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.internal,QUALIFIED_NAME, line no: 13, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,internal,SIMPLE_NAME, line no: 13, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,events,SIMPLE_NAME, line no: 13, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,ResourceDelta,SIMPLE_NAME, line no: 13, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.resources,QUALIFIED_NAME, line no: 14, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,resources,SIMPLE_NAME, line no: 14, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.runtime.CoreException,QUALIFIED_NAME, line no: 15, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,org.eclipse.core.runtime,QUALIFIED_NAME, line no: 15, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,runtime,SIMPLE_NAME, line no: 15, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,DeltaDebugListener,SIMPLE_NAME, line no: 18, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceChangeListener,SIMPLE_NAME, line no: 18, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,closing,SIMPLE_NAME, line no: 22, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IProject,SIMPLE_NAME, line no: 22, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,project,SIMPLE_NAME, line no: 22, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,deleting,SIMPLE_NAME, line no: 28, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,resourceChanged,SIMPLE_NAME, line no: 33, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceChangeEvent,SIMPLE_NAME, line no: 33, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,event,SIMPLE_NAME, line no: 33, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceDelta,SIMPLE_NAME, line no: 34, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,delta,SIMPLE_NAME, line no: 34, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,event.getDelta(),METHOD_INVOCATION, line no: 34, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,getDelta,SIMPLE_NAME, line no: 34, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,delta == null,INFIX_EXPRESSION, line no: 35, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,null,NULL_LITERAL, line no: 35, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,System.out.println(),METHOD_INVOCATION, line no: 38, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,System.out,QUALIFIED_NAME, line no: 38, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,System,SIMPLE_NAME, line no: 38, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,out,SIMPLE_NAME, line no: 38, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,println,SIMPLE_NAME, line no: 38, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,visitingProcess(delta),METHOD_INVOCATION, line no: 39, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,visitingProcess,SIMPLE_NAME, line no: 39, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,e,SIMPLE_NAME, line no: 40, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,visit,SIMPLE_NAME, line no: 44, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,change,SIMPLE_NAME, line no: 44, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,System.out.println(((ResourceDelta)change).toDebugString()),METHOD_INVOCATION, line no: 45, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,((ResourceDelta)change).toDebugString(),METHOD_INVOCATION, line no: 45, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,((ResourceDelta)change),PARENTHESIZED_EXPRESSION, line no: 45, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,(ResourceDelta)change,CAST_EXPRESSION, line no: 45, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,toDebugString,SIMPLE_NAME, line no: 45, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,true,BOOLEAN_LITERAL, line no: 46, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,!visit(change),PREFIX_EXPRESSION, line no: 56, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,visit(change),METHOD_INVOCATION, line no: 56, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,kind,SIMPLE_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceDelta.ADDED | IResourceDelta.REMOVED | IResourceDelta.CHANGED,INFIX_EXPRESSION, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceDelta.ADDED,QUALIFIED_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,ADDED,SIMPLE_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceDelta.REMOVED,QUALIFIED_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,REMOVED,SIMPLE_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IResourceDelta.CHANGED,QUALIFIED_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,CHANGED,SIMPLE_NAME, line no: 58, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,memberFlags,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IContainer.INCLUDE_TEAM_PRIVATE_MEMBERS | IContainer.INCLUDE_PHANTOMS,INFIX_EXPRESSION, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IContainer.INCLUDE_TEAM_PRIVATE_MEMBERS,QUALIFIED_NAME, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IContainer,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,INCLUDE_TEAM_PRIVATE_MEMBERS,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,IContainer.INCLUDE_PHANTOMS,QUALIFIED_NAME, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,INCLUDE_PHANTOMS,SIMPLE_NAME, line no: 59, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,children,SIMPLE_NAME, line no: 60, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,change.getAffectedChildren(kind memberFlags),METHOD_INVOCATION, line no: 60, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,getAffectedChildren,SIMPLE_NAME, line no: 60, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,int i=0,VARIABLE_DECLARATION_EXPRESSION, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,i,SIMPLE_NAME, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,0,NUMBER_LITERAL, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,i < children.length,INFIX_EXPRESSION, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,children.length,QUALIFIED_NAME, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,length,SIMPLE_NAME, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,i++,POSTFIX_EXPRESSION, line no: 61, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,visitingProcess(children[i]),METHOD_INVOCATION, line no: 62, 0.0, 0.0, 0.0
CoreException,SIMPLE_NAME, line no: 44,children[i],ARRAY_ACCESS, line no: 62, 0.0, 0.0, 0.0
